iter	RMSE
303	0.3950830042
304	0.3947906352
305	0.3945621442
306	0.3944327651
307	0.3943199874
308	0.3942116399
309	0.3939724019
310	0.3938203454
311	0.3936111451
312	0.3933596309
313	0.3932669114
314	0.3930661522
315	0.392943211
316	0.3926478917
317	0.3924940509
318	0.3921822849
319	0.3916460145
320	0.3916021758
321	0.3914140673
322	0.3913108154
323	0.3911836689
324	0.3910877304
325	0.3908971458
326	0.3906938268
327	0.3905964255
328	0.3903968276
329	0.3903184852
330	0.3897202163
331	0.3896421069
332	0.3894674924
333	0.3892365936
334	0.3891584958
335	0.3890570148
336	0.3889431567
337	0.388813387
338	0.3886876646
339	0.3885832313
340	0.388203627
341	0.3881427966
342	0.3879800196
343	0.3879036747
344	0.387718287
345	0.3874565086
346	0.3872566463
347	0.3870218718
348	0.3869733131
349	0.3866816144
350	0.3865716948
351	0.3864817015
352	0.3863639325
353	0.386331491
354	0.3862163258
355	0.3860645224
356	0.3859155959
357	0.3858097107
358	0.3857220392
359	0.3856274614
360	0.3854784538
361	0.3853532675
362	0.3852312238
363	0.3850502821
364	0.3848771441
365	0.3847796771
366	0.3845760927
367	0.3843985389
368	0.3843486366
369	0.3840155467
370	0.3839215839
371	0.3838267388
372	0.3836580305
373	0.3835896886
374	0.3834242288
375	0.3833531096
376	0.3831862675
377	0.3829873788
378	0.3827988811
379	0.3826630717
380	0.3826143577
381	0.3825186357
382	0.3822933624
383	0.3822133369
384	0.3818665803
385	0.3817855129
386	0.3815692932
387	0.3813868137
388	0.3813010752
389	0.3809982192
390	0.3809179217
391	0.3808131343
392	0.3807491462
393	0.3805702514
394	0.3805252479
395	0.3803399105
396	0.3799283196
397	0.3797930203
398	0.3796759609
399	0.3794771936
400	0.379377024
401	0.3790100672
402	0.378813116
403	0.3787137534
404	0.3785915576
405	0.3785112857
406	0.378423376
407	0.3783553627
408	0.3782776342
409	0.3782392
410	0.3780171485
411	0.377839579
412	0.3777489383
413	0.3775655085
414	0.3774214745
415	0.3773534151
416	0.3771947265
417	0.3770404797
418	0.3769009573
419	0.3767275087
420	0.3765521386
421	0.3763359572
422	0.3762055592
423	0.3761169645
424	0.375887337
425	0.3757774221
426	0.3756980797
427	0.3754210378
428	0.3752220451
429	0.3751894968
430	0.3751177745
431	0.3749443357
432	0.3748032771
433	0.3746465897
434	0.3743396716
435	0.3742961671
436	0.3741748679
437	0.3740517093
438	0.3739898321
439	0.3738206323
440	0.3737024263
441	0.3736269554
442	0.3735297227
443	0.3733903154
444	0.3731713165
445	0.3730666315
446	0.372966577
447	0.3728353976
448	0.3727373004
449	0.3726155505
450	0.372544831
451	0.3724994709
452	0.3724219055
453	0.3719058407
454	0.3717936681
455	0.3716998922
456	0.3715342476
457	0.371408016
458	0.3712193797
459	0.3711094382
460	0.3710912976
461	0.3709538124
462	0.3708953974
463	0.3708340882
464	0.3706733159
465	0.3705283147
466	0.3704942925
467	0.3703826858
468	0.3703033752
469	0.3702330021
470	0.3701772264
471	0.3700970605
472	0.3699867055
473	0.3697870754
474	0.3696918067
475	0.3694206542
476	0.3690291876
477	0.36894797
478	0.3688176887
479	0.3686369154
480	0.3684257078
481	0.3680850444
482	0.3679716842
483	0.36781219
484	0.3677422717
485	0.3677018162
486	0.367464157
487	0.367429011
488	0.3672877026
489	0.3672208396
490	0.3671012227
491	0.3670060749
492	0.3668149674
493	0.3666553391
494	0.3665177013
495	0.3662323063
496	0.3661424994
497	0.3661145493
498	0.3659740853
499	0.3659221442
500	0.3658589846
501	0.365788531
502	0.3656577486
503	0.3655590787
504	0.3654698353
505	0.3654201254
506	0.3650848812
507	0.3648309249
508	0.364742199
509	0.3645888426
510	0.3644862173
511	0.3644150806
512	0.3643141706
513	0.3640775869
514	0.3639110874
515	0.3638468464
516	0.3637569272
517	0.3636726601
518	0.3634964359
519	0.3633060197
520	0.3631454196
521	0.3629856919
522	0.3628258008
523	0.3627011319
524	0.3625803038
525	0.3624603804
526	0.3623916699
527	0.3623271713
528	0.3622525406
529	0.3621242646
530	0.3620059306
531	0.3618796588
532	0.3618309399
533	0.3617901975
534	0.3617034029
535	0.3616629851
536	0.3616372029
537	0.361531108
538	0.3614526044
539	0.361378109
540	0.3612505526
541	0.3611871263
542	0.3611065923
543	0.3610085644
544	0.3609377967
545	0.3608375666
546	0.3607478585
547	0.3606608131
548	0.3605891446
549	0.3604605934
550	0.3603643611
551	0.360231762
552	0.3601802138
553	0.360100852
554	0.3599651838
555	0.3598116013
556	0.3596991252
557	0.3596395053
558	0.3595047451
559	0.359352119
560	0.3592162033
561	0.3591129258
562	0.3590250364
563	0.3588850025
564	0.3588237035
565	0.3587495699
566	0.3586203711
567	0.3585759029
568	0.358492777
569	0.3583047883
570	0.3582162166
571	0.3581885571
572	0.3580690288
573	0.3580250945
574	0.3579062322
575	0.3577956155
576	0.3577392127
577	0.3576308618
578	0.3574589462
579	0.3573912383
580	0.3573244169
581	0.3572571806
582	0.3571775482
583	0.3570487043
584	0.3569565869
585	0.3569214133
586	0.3568761647
587	0.3567666983
588	0.3566500962
589	0.3565197096
590	0.3564659401
591	0.3563776708
592	0.3563180055
593	0.3562205354
594	0.3561960925
595	0.356010775
596	0.3559212642
597	0.3559039534
598	0.3558402277
599	0.3555973403
600	0.3554852199
601	0.3554099021
602	0.3553357346
603	0.3550858809
604	0.3549292339
605	0.3548473869
606	0.3546616032
607	0.354585538
608	0.3545561403
609	0.3545210028
610	0.3544604285
611	0.3543859429
612	0.354261861
613	0.3541699501
614	0.354100431
615	0.3539431328
616	0.3538838218
617	0.3538201505
618	0.3537474308
619	0.3537056736
620	0.3536178991
621	0.3535366337
622	0.3534896718
623	0.3534148739
624	0.353341257
625	0.3532833411
626	0.3532154074
627	0.3531603326
628	0.3530823512
629	0.3530084014
630	0.3529839876
631	0.352931237
632	0.3528919356
633	0.3527595125
634	0.3526641285
635	0.3525195046
636	0.3524741708
637	0.3523510118
638	0.3520484752
639	0.3519224036
640	0.3517955416
641	0.3516991146
642	0.3516668301
643	0.3515991734
644	0.351490987
645	0.351401829
646	0.3513302697
647	0.3512210132
648	0.3511657701
649	0.35108472
650	0.3507047511
651	0.3506642957
652	0.3505699941
653	0.3505084474
654	0.3504877927
655	0.3504403619
656	0.3503902455
657	0.3503352094
658	0.3502984656
659	0.3501438916
660	0.3500291426
661	0.3499881137
662	0.3496582338
663	0.3493770161
664	0.3492918706
665	0.3492102159
666	0.3491041357
667	0.3490576678
668	0.3489799328
669	0.3489329636
670	0.3487938971
671	0.3486536351
672	0.3485641396
673	0.3485041801
674	0.3483655494
675	0.3482217632
676	0.3481904558
677	0.348138558
678	0.3480554907
679	0.3479864757
680	0.3478697265
681	0.3478246376
682	0.3477615593
683	0.3476804332
684	0.3475649195
685	0.3474734764
686	0.347417187
687	0.3472062369
688	0.3471350553
689	0.346979523
690	0.3468522307
691	0.3467950114
692	0.3465603414
693	0.3465306411
694	0.3464740277
695	0.3464098978
696	0.3463718952
697	0.3463258666
698	0.3462722849
699	0.3462121727
700	0.3461743438
701	0.3461040984
702	0.3460232436
703	0.3459492761
704	0.3457919631
705	0.3456693104
706	0.3455938355
707	0.3455497346
708	0.3454331779
709	0.3453822248
710	0.3453478926
711	0.3452852682
712	0.3452218361
713	0.3451917389
714	0.345124859
715	0.345088173
716	0.3449423465
717	0.3448108071
718	0.3446002371
719	0.3445329601
720	0.3445118858
721	0.3444146719
722	0.3443815572
723	0.3443401624
724	0.344322122
725	0.3442851417
726	0.3442174591
727	0.3441616447
728	0.3441005986
729	0.343944481
730	0.3438746285
731	0.3437121462
732	0.3436755555
733	0.3436215975
734	0.3435800989
735	0.343436427
736	0.343358614
737	0.3432748705
738	0.3431876319
739	0.3430853099
740	0.3430076515
741	0.3429366095
742	0.3428650471
743	0.3428218287
744	0.3426710641
745	0.3425815117
746	0.3424753538
747	0.3424522266
748	0.3424339509
749	0.3423495118
750	0.3422503741
751	0.342203581
752	0.3421404675
753	0.3420814093
754	0.3420154172
755	0.3419314808
756	0.3418510863
757	0.3418299333
758	0.3418096078
759	0.3417945144
760	0.3417211908
761	0.341685674
762	0.3416198035
763	0.3415653227
764	0.3414993051
765	0.3414754059
766	0.3414291878
767	0.3413620167
768	0.3413316534
769	0.3412460123
770	0.3411696828
771	0.3411225431
772	0.3410063332
773	0.3409870996
774	0.3409247531
775	0.3408639584
776	0.340806292
777	0.3407712011
778	0.3406207704
779	0.3405669865
780	0.3405234764
781	0.3404590454
782	0.3403020773
783	0.3402622243
784	0.340194686
785	0.3401200478
786	0.3400858186
787	0.34003292
788	0.3399359926
789	0.3398137772
790	0.3397740039
791	0.3397282638
792	0.3396550045
793	0.3395050383
794	0.3394933176
795	0.3393945915
796	0.3393153158
797	0.339280968
798	0.3391899221
799	0.3391351631
800	0.3391147634
801	0.3390529083
802	0.3389708955
803	0.3389607033
804	0.3389182971
805	0.3388434026
806	0.3388344046
807	0.3388063111
808	0.338733152
809	0.3386808538
810	0.3386458922
811	0.3385300563
812	0.3384235397
813	0.3383309132
814	0.3382746776
815	0.3382248715
816	0.3381592147
817	0.3380371075
818	0.3379484793
819	0.3379037685
820	0.3378571369
821	0.3378072692
822	0.3377192067
823	0.3376683419
824	0.3376187595
825	0.3375504793
826	0.3374574127
827	0.3373945018
828	0.3373587175
829	0.3372884791
830	0.3371676744
831	0.3370155725
832	0.336973963
833	0.3369560176
834	0.3368759421
835	0.3368428395
836	0.3367525659
837	0.3366428867
838	0.336576846
839	0.336526286
840	0.3364663429
841	0.3363924738
842	0.3363623534
843	0.3363339779
844	0.336309938
845	0.3361921149
846	0.336124023
847	0.3360670532
848	0.3360056942
849	0.3359364694
850	0.3358721782
851	0.3358150902
852	0.335770322
853	0.3357173985
854	0.3356521709
855	0.3355556416
856	0.3354940378
857	0.3354505126
858	0.3353675558
859	0.3353131562
860	0.3352740346
861	0.3352369013
862	0.3351344483
863	0.3351047195
864	0.3351008834
865	0.3350358261
866	0.3349970507
867	0.3349461007
868	0.3348519693
869	0.3348161785
870	0.3347868889
871	0.334758683
872	0.3346426261
873	0.3345764433
874	0.3345601263
875	0.3345024224
876	0.3344574153
877	0.3343625646
878	0.334288433
879	0.3342452442
880	0.3342371979
881	0.334163861
882	0.3341283383
883	0.3341010514
884	0.3340000477
885	0.3339336869
886	0.333905371
887	0.3338529118
888	0.3338163425
889	0.3335947131
890	0.3335379326
891	0.3333426827
892	0.3332667256
893	0.3332282012
894	0.3331921218
895	0.3331426093
896	0.3330810036
897	0.3329688831
898	0.3328861717
899	0.3327642898
900	0.3327062237
901	0.3326686131
902	0.3325963417
903	0.3324603882
904	0.3324149901
905	0.3324005769
906	0.3323274456
907	0.3322686922
908	0.3322305866
909	0.332148608
910	0.3320578605
911	0.3320538618
912	0.3320249908
913	0.3319830233
914	0.3319229604
915	0.3318735007
916	0.3318453148
917	0.33179657
918	0.3317388443
919	0.3316783165
920	0.3316222917
921	0.331564727
922	0.3314918832
