iter	R2	RMSE
650	0.9085519858	0.3600575146
655	0.9086646509	0.3598356329
660	0.908941892	0.3592891764
665	0.9091272375	0.3589232886
670	0.9093099514	0.3585622699
675	0.9094878079	0.3582105147
680	0.9096510449	0.3578873481
685	0.9097624653	0.357666652
690	0.9099174227	0.3573593377
695	0.9100826137	0.3570315191
700	0.9102080714	0.3567823488
705	0.9105190533	0.3561639513
710	0.9106961207	0.3558114962
715	0.9107903454	0.355623698
720	0.9109880893	0.3552293152
725	0.9111024675	0.3550009631
730	0.9112458551	0.3547146135
735	0.9113431596	0.354520145
740	0.9114692699	0.3542678657
745	0.9116562369	0.3538935426
750	0.9118502781	0.3535046432
755	0.9120099535	0.3531843708
760	0.9121284308	0.3529465836
765	0.9123083839	0.3525850362
770	0.9124356203	0.3523291126
775	0.9126405682	0.3519165082
780	0.9127641577	0.3516675374
785	0.9130091734	0.3511733383
790	0.9130959727	0.3509980828
795	0.9133082384	0.3505691044
800	0.9134594975	0.3502631886
805	0.9136551954	0.3498668943
810	0.9137088384	0.3497581654
815	0.9138468397	0.3494783563
820	0.9139352503	0.3492990424
825	0.9140806769	0.3490038603
830	0.9142156048	0.3487297544
835	0.9143168259	0.3485239023
840	0.9145474629	0.3480544653
845	0.9147292179	0.3476841212
850	0.9148795572	0.3473774553
855	0.915014691	0.347101617
860	0.9151578528	0.3468091013
865	0.9152921983	0.3465344868
870	0.9154319719	0.3462485193
875	0.9155247306	0.3460585448
880	0.9157693258	0.3455571578
885	0.9158861085	0.345317549
890	0.9160236455	0.3450351064
895	0.9161625684	0.3447495402
900	0.916299963	0.3444669638
905	0.9164351284	0.3441888329
910	0.9165396473	0.3439734023
915	0.9166739891	0.3436964422
920	0.9167497918	0.3435401655
925	0.9168967886	0.343236633
930	0.9169803101	0.3430641623
935	0.9171131068	0.3427896698
940	0.9172376626	0.3425319556
945	0.9173310531	0.3423386895
950	0.9174125269	0.3421698966
955	0.9174816593	0.3420267228
960	0.9176127131	0.3417550372
965	0.9177004842	0.3415729141
970	0.9177509373	0.3414681745
975	0.9178441561	0.3412745741
980	0.9179998255	0.3409510901
985	0.9180698854	0.3408054315
990	0.9181911541	0.3405531054
995	0.9183177721	0.3402894905
1000	0.9184640344	0.3399847105
1005	0.918576187	0.3397507701
1010	0.9186568318	0.3395824821
1015	0.9187616589	0.3393636017
1020	0.9189117713	0.3390499362
1025	0.9190356067	0.3387909432
1030	0.9192166079	0.3384119483
1035	0.9192998084	0.3382377341
1040	0.9193704068	0.3380897025
1045	0.9193990443	0.3380296329
1050	0.9195205152	0.3377748947
1055	0.9195980726	0.337612016
1060	0.9196923954	0.3374139665
1065	0.9197405379	0.3373128032
1070	0.9198437204	0.3370958954
1075	0.9200118795	0.3367421444
1080	0.9200837886	0.3365907782
1085	0.9201580193	0.3364344091
1090	0.9202744991	0.3361888697
1095	0.9203544377	0.3360203087
1100	0.9204026937	0.3359184534
1105	0.9204808493	0.3357534754
1110	0.920618994	0.3354617943
1115	0.9207011063	0.3352882298
1120	0.9208129361	0.3350518019
1125	0.9209344973	0.3347944291
1130	0.9210296703	0.3345928664
1135	0.9211481177	0.3343418297
1140	0.921220833	0.3341876383
1145	0.921329311	0.3339575392
1150	0.9213980331	0.3338116788
1155	0.9214921755	0.3336116885
1160	0.9216102967	0.3333606264
1165	0.9216960552	0.3331781977
1170	0.921776824	0.3330063135
1175	0.9218983754	0.3327475098
1180	0.9219694215	0.3325960996
1185	0.9221324412	0.3322484738
1190	0.9222137211	0.3320750479
1195	0.9222882943	0.3319158624
1200	0.9223581523	0.3317666368
1205	0.9225074268	0.3314475759
1210	0.9225846743	0.3312823043
1215	0.9226754706	0.3310879418
1220	0.9228020322	0.3308168399
1225	0.922854608	0.3307042543
1230	0.9229569654	0.3304847805
1235	0.9230178571	0.3303541117
1240	0.92310652	0.3301638713
1245	0.9232253255	0.3299086188
1250	0.9233388078	0.3296647812
1255	0.9234217531	0.3294863862
1260	0.9235142987	0.3292872136
1265	0.9235874999	0.3291295841
1270	0.923652345	0.3289899108
1275	0.9237500693	0.3287793226
1280	0.9238241508	0.3286195428
1285	0.923948547	0.3283511527
1290	0.9240671822	0.3280948803
1295	0.9241364962	0.3279451015
1300	0.9241740382	0.3278639788
1305	0.9242535004	0.3276921544
1310	0.9243168549	0.3275551354
1315	0.9243857758	0.327405892
1320	0.9244702531	0.3272229529
1325	0.924516692	0.3271223712
1330	0.9245933128	0.3269562981
1335	0.9246791641	0.3267701261
1340	0.9247734407	0.3265654314
