iter	Passed	Remaining
563	13221	25106
564	13243	25080
565	13269	25062
566	13293	25038
567	13320	25022
568	13341	24995
569	13365	24972
570	13389	24950
571	13412	24925
572	13441	24911
573	13461	24882
574	13483	24856
575	13507	24834
576	13529	24807
577	13550	24779
578	13573	24756
579	13594	24728
580	13618	24705
581	13641	24681
582	13665	24657
583	13686	24631
584	13710	24609
585	13736	24589
586	13759	24566
587	13782	24540
588	13803	24514
589	13825	24487
590	13849	24465
591	13874	24444
592	13908	24439
593	13932	24416
594	13961	24403
595	13988	24386
596	14012	24363
597	14039	24345
598	14067	24330
599	14091	24307
600	14114	24284
601	14136	24257
602	14161	24236
603	14186	24215
604	14208	24189
605	14231	24165
606	14255	24143
607	14279	24120
608	14301	24094
609	14323	24068
610	14351	24052
611	14373	24026
612	14394	23998
613	14417	23973
614	14439	23948
615	14469	23936
616	14490	23908
617	14514	23886
618	14536	23860
619	14561	23837
620	14585	23815
621	14604	23785
622	14623	23755
623	14644	23726
624	14667	23703
625	14696	23687
626	14719	23664
627	14743	23640
628	14767	23618
629	14788	23591
630	14811	23566
631	14836	23545
632	14861	23525
633	14890	23509
634	14920	23496
635	14949	23481
636	14972	23458
637	14994	23431
638	15017	23407
639	15041	23385
640	15063	23359
641	15088	23338
642	15109	23310
643	15134	23289
644	15162	23273
645	15188	23253
646	15213	23231
647	15238	23210
648	15260	23184
649	15285	23163
650	15308	23138
651	15330	23112
652	15355	23091
653	15377	23066
654	15400	23042
655	15424	23019
656	15444	22991
657	15464	22962
658	15489	22940
659	15513	22918
660	15542	22902
661	15568	22882
662	15590	22856
663	15612	22830
664	15637	22809
665	15660	22785
666	15682	22759
667	15708	22739
668	15730	22713
669	15754	22690
670	15776	22666
671	15797	22638
672	15820	22614
673	15844	22591
674	15866	22566
675	15899	22556
676	15921	22529
677	15944	22505
678	15968	22482
679	15993	22460
680	16017	22438
681	16037	22410
682	16064	22391
683	16085	22364
684	16108	22340
685	16133	22319
686	16156	22294
687	16176	22266
688	16201	22244
689	16226	22223
690	16252	22202
691	16274	22178
692	16297	22153
693	16319	22128
694	16343	22105
695	16368	22083
696	16391	22058
697	16410	22029
698	16431	22002
699	16456	21981
700	16480	21958
701	16507	21939
702	16530	21914
703	16556	21894
704	16582	21874
705	16603	21848
706	16623	21819
707	16647	21796
708	16670	21773
709	16695	21751
710	16722	21732
711	16743	21705
712	16766	21681
713	16789	21657
714	16816	21638
715	16838	21612
716	16859	21586
717	16883	21562
718	16909	21542
719	16932	21518
720	16957	21496
721	16984	21477
722	17006	21452
723	17029	21428
724	17051	21403
725	17073	21376
726	17095	21352
727	17119	21328
728	17145	21307
729	17171	21288
730	17198	21268
731	17224	21247
732	17246	21223
733	17272	21201
734	17294	21177
735	17318	21154
736	17340	21128
737	17363	21104
738	17388	21082
739	17409	21056
740	17435	21035
741	17457	21010
742	17482	20988
743	17505	20964
744	17529	20941
745	17554	20919
746	17580	20898
747	17600	20871
748	17625	20849
749	17647	20824
750	17669	20799
751	17692	20774
752	17713	20747
753	17734	20721
754	17760	20700
755	17785	20679
756	17811	20658
757	17832	20631
758	17854	20606
759	17876	20581
760	17911	20570
761	17933	20546
762	17956	20521
763	17977	20495
764	18002	20473
765	18028	20452
766	18050	20426
767	18072	20402
768	18102	20386
769	18130	20366
770	18155	20344
771	18177	20320
772	18199	20294
773	18223	20271
774	18247	20249
775	18271	20225
776	18300	20207
777	18321	20181
778	18340	20153
779	18361	20126
780	18383	20102
781	18405	20077
782	18427	20051
783	18450	20027
784	18470	19999
785	18497	19979
786	18529	19965
787	18555	19944
788	18576	19918
789	18595	19890
790	18620	19867
791	18644	19845
792	18666	19819
793	18686	19792
794	18709	19768
795	18730	19742
796	18753	19718
797	18780	19698
798	18802	19673
799	18828	19652
800	18851	19628
801	18879	19608
802	18900	19582
803	18929	19565
804	18950	19539
805	18974	19515
806	18997	19492
807	19017	19465
808	19043	19443
809	19065	19418
810	19124	19431
811	19151	19411
812	19174	19386
813	19200	19365
814	19224	19342
815	19246	19316
816	19273	19297
817	19296	19272
818	19319	19248
819	19344	19227
820	19369	19204
821	19398	19186
822	19421	19162
823	19450	19144
824	19479	19125
825	19508	19106
826	19532	19083
827	19555	19059
828	19576	19033
829	19596	19006
830	19633	18995
831	19659	18974
832	19680	18948
833	19704	18924
834	19732	18905
835	19765	18891
836	19790	18868
837	19812	18842
838	19836	18820
839	19859	18796
840	19888	18776
841	19910	18751
842	19929	18724
843	19953	18700
844	19977	18676
845	19999	18652
846	20022	18627
847	20044	18602
848	20065	18576
849	20091	18554
850	20116	18532
851	20141	18510
852	20166	18488
853	20190	18464
854	20213	18440
855	20236	18416
856	20259	18391
857	20287	18372
858	20310	18347
859	20335	18325
860	20361	18303
861	20385	18280
862	20409	18257
863	20436	18237
864	20456	18209
865	20479	18185
866	20500	18160
867	20522	18134
868	20547	18112
869	20567	18085
870	20591	18062
871	20621	18043
872	20647	18022
873	20671	17998
874	20692	17972
875	20716	17949
876	20742	17928
877	20764	17903
878	20787	17878
879	20811	17855
880	20836	17832
881	20856	17805
882	20877	17780
883	20900	17756
884	20920	17729
885	20944	17706
886	20966	17681
887	20990	17657
888	21017	17637
889	21040	17612
890	21064	17589
891	21089	17566
892	21111	17541
893	21134	17517
894	21159	17494
895	21183	17471
896	21204	17445
897	21227	17421
898	21253	17400
899	21280	17379
900	21304	17355
901	21326	17330
902	21345	17303
903	21367	17278
904	21389	17253
905	21412	17229
906	21437	17207
907	21463	17185
908	21486	17160
909	21513	17140
910	21542	17120
911	21567	17098
912	21589	17073
913	21610	17047
914	21637	17026
915	21662	17003
916	21689	16982
917	21711	16957
918	21733	16932
919	21753	16905
920	21774	16880
921	21802	16860
922	21822	16833
923	21843	16807
924	21866	16783
925	21892	16761
926	21914	16737
927	21936	16712
928	21957	16686
929	21980	16662
930	22004	16639
931	22033	16620
932	22060	16598
933	22082	16573
934	22107	16551
935	22132	16528
936	22156	16505
937	22179	16481
938	22201	16456
939	22229	16435
940	22253	16412
941	22277	16389
942	22299	16364
943	22322	16339
944	22344	16314
945	22366	16289
946	22392	16268
947	22419	16247
948	22442	16222
949	22463	16197
950	22488	16174
951	22511	16150
952	22535	16127
953	22562	16105
954	22584	16080
955	22616	16063
956	22643	16041
957	22664	16016
958	22687	15992
959	22710	15968
960	22739	15948
961	22761	15923
962	22784	15899
963	22804	15873
964	22826	15848
